antecedent,consequent,confidence
pancakes,shrimp,0.11079943899018233
shrimp,pancakes,0.14738805970149252
burgers,pancakes,0.12079510703363913
pancakes,burgers,0.11079943899018233
spaghetti,pancakes,0.1447166921898928
pancakes,spaghetti,0.2650771388499299
pancakes,frozen vegetables,0.14165497896213183
frozen vegetables,pancakes,0.14125874125874124
pancakes,chocolate,0.20897615708274897
chocolate,pancakes,0.12123677786818551
green tea,pancakes,0.124117053481332
pancakes,green tea,0.17251051893408134
pancakes,milk,0.17391304347826086
milk,pancakes,0.12757201646090535
pancakes,eggs,0.2286115007012623
eggs,pancakes,0.12091988130563798
pancakes,mineral water,0.3548387096774194
mineral water,pancakes,0.14149888143176736
pancakes,french fries,0.211781206171108
french fries,pancakes,0.11778471138845555
ground beef,pancakes,0.14789687924016282
pancakes,ground beef,0.15287517531556802
cake,pancakes,0.14638157894736845
pancakes,cake,0.12482468443197757
pancakes,olive oil,0.11360448807854139
olive oil,pancakes,0.1639676113360324
spaghetti,shrimp,0.1217457886676876
shrimp,spaghetti,0.2966417910447761
shrimp,frozen vegetables,0.23320895522388058
frozen vegetables,shrimp,0.17482517482517482
shrimp,chocolate,0.251865671641791
chocolate,shrimp,0.1098454027664768
shrimp,tomatoes,0.15671641791044774
tomatoes,shrimp,0.16374269005847952
shrimp,green tea,0.16044776119402984
milk,shrimp,0.1358024691358025
shrimp,milk,0.2462686567164179
shrimp,eggs,0.19776119402985073
shrimp,mineral water,0.3302238805970149
ground beef,shrimp,0.11668928086838534
shrimp,ground beef,0.16044776119402984
burgers,spaghetti,0.24617737003058102
spaghetti,burgers,0.12327718223583461
burgers,frozen vegetables,0.12079510703363913
frozen vegetables,burgers,0.11048951048951049
burgers,chocolate,0.19571865443425074
chocolate,burgers,0.10414971521562244
burgers,green tea,0.2003058103975535
green tea,burgers,0.13218970736629668
burgers,milk,0.20489296636085627
milk,burgers,0.13786008230452676
burgers,eggs,0.33027522935779813
eggs,burgers,0.1602373887240356
burgers,mineral water,0.2798165137614679
mineral water,burgers,0.10234899328859061
burgers,french fries,0.25229357798165136
french fries,burgers,0.12870514820592824
burgers,ground beef,0.13761467889908255
ground beef,burgers,0.12211668928086838
burgers,cake,0.1314984709480122
cake,burgers,0.14144736842105263
burgers,turkey,0.12232415902140673
turkey,burgers,0.1705756929637527
spaghetti,frozen vegetables,0.16003062787136293
frozen vegetables,spaghetti,0.29230769230769227
escalope,spaghetti,0.17647058823529413
spaghetti,chocolate,0.22511485451761104
chocolate,spaghetti,0.23921887713588283
honey,spaghetti,0.25
low fat yogurt,spaghetti,0.1986062717770035
spaghetti,tomatoes,0.12021439509954057
tomatoes,spaghetti,0.3060428849902534
frozen smoothie,spaghetti,0.24631578947368424
spaghetti,green tea,0.15237366003062788
green tea,spaghetti,0.2008072653884965
